,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
58,"frozenset(['MINI PAINT SET VINTAGE', 'SET/6 RED SPOTTY PAPER PLATES'])",frozenset(['SET/6 RED SPOTTY PAPER CUPS']),0.028938906752411574,0.13665594855305466,0.028938906752411574,1.0,7.31764705882353,0.024984233000072374,inf
212,"frozenset(['MINI PAINT SET VINTAGE', 'SET/20 RED RETROSPOT PAPER NAPKINS'])","frozenset(['SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'])",0.027331189710610933,0.11414790996784566,0.027331189710610933,1.0,8.76056338028169,0.024211391528210006,inf
284,"frozenset(['ALARM CLOCK BAKELIKE ORANGE', 'ALARM CLOCK BAKELIKE PINK'])",frozenset(['ALARM CLOCK BAKELIKE RED']),0.02572347266881029,0.06752411575562701,0.02572347266881029,1.0,14.809523809523808,0.023986517922684837,inf
281,"frozenset(['MINI PAINT SET VINTAGE', 'SET/20 RED RETROSPOT PAPER NAPKINS'])",frozenset(['SET/6 RED SPOTTY PAPER CUPS']),0.027331189710610933,0.13665594855305466,0.027331189710610933,1.0,7.31764705882353,0.02359622005562391,inf
207,"frozenset(['MINI PAINT SET VINTAGE', 'SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'])",frozenset(['SET/6 RED SPOTTY PAPER PLATES']),0.027331189710610933,0.12540192926045016,0.027331189710610933,1.0,7.9743589743589745,0.02390380579191696,inf
85,"frozenset(['CIRCUS PARADE LUNCH BOX', 'PLASTERS IN TIN STRONGMAN'])",frozenset(['PLASTERS IN TIN CIRCUS PARADE']),0.02572347266881029,0.16720257234726688,0.02572347266881029,1.0,5.980769230769231,0.021422441868880593,inf
6,"frozenset(['MINI PAINT SET VINTAGE', 'SET/20 RED RETROSPOT PAPER NAPKINS'])",frozenset(['SET/6 RED SPOTTY PAPER PLATES']),0.027331189710610933,0.12540192926045016,0.027331189710610933,1.0,7.9743589743589745,0.02390380579191696,inf
209,"frozenset(['MINI PAINT SET VINTAGE', 'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES'])",frozenset(['SET/6 RED SPOTTY PAPER CUPS']),0.027331189710610933,0.13665594855305466,0.027331189710610933,1.0,7.31764705882353,0.02359622005562391,inf
495,"frozenset(['SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'])",frozenset(['SET/6 RED SPOTTY PAPER PLATES']),0.07234726688102894,0.12540192926045016,0.0707395498392283,0.9777777777777779,7.7971509971509985,0.0616670629956266,39.356913183279886
494,"frozenset(['SET/6 RED SPOTTY PAPER PLATES', 'SET/20 RED RETROSPOT PAPER NAPKINS'])",frozenset(['SET/6 RED SPOTTY PAPER CUPS']),0.07234726688102894,0.13665594855305466,0.0707395498392283,0.9777777777777779,7.155032679738563,0.06085286545838029,38.85048231511268
